Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.58689,0.443644,0,0,0,0.176458,-0.277346,0.146502,-0.0263413,0.27403,0,0,0,-0.969348,1.31026,-0.635009,0.107834,-0.324817,0,0,0,0.947831,-1.39538,0.718022,-0.127373,0,0,0,0,0,0,0,0
0.890989,0.443644,-0.0721746,-0.0481265,-0.00174274,-2.38876,6.48143,-6.05271,1.93458,-0.095532,-0.236947,0.0988665,0.0243629,-0.0287529,0.818184,-1.21706,0.489085,-0.1177,0.0224222,-0.0579883,-0.00635038,-3.18687,8.58966,-7.97789,2.54091,0,0,0,0,0,0,0,0
1.53486,0.308067,-0.114025,0.00833839,-0.0136027,-0.190236,0.400005,-0.245,0.0487226,-0.16051,0.106521,0.0762848,-0.0118869,0.869275,-1.4546,0.813715,-0.153918,-0.192154,-0.0255297,0.0471242,0.013469,1.47286,-2.28343,1.22543,-0.225956,0,0,0,0,0,0,0,0
1.20574,0.229597,0.101098,0.0403443,-0.0117554,0.612049,-1.29557,0.91739,-0.219889,0.12349,-0.0326791,-0.0810358,0.00511437,-0.0119636,-0.129645,0.159859,-0.0493012,0.139088,0.105186,-0.0429857,-0.00824644,-0.426611,0.708134,-0.424241,0.0899061,0,0,0,0,0,0,0,0
1.61049,0.385722,0.0449782,-0.0568855,0.00100221,-0.296267,0.456138,-0.235473,0.0414109,-0.071886,-0.275848,-0.00982319,0.0199655,-0.418333,0.743297,-0.41853,0.0779387,0.121433,-0.0953079,-0.0195188,0.00672895,-0.986485,1.4776,-0.766424,0.136151,0,0,0,0,0,0,0,0
1.77241,0.318676,0.0130755,0.051379,0.00163186,0.254729,-0.369028,0.176366,-0.0285284,-0.331996,0.172545,0.124058,-0.0102556,0.574069,-0.845607,0.409659,-0.066924,-0.229303,-0.0799599,0.0201996,0.00425707,0.270074,-0.320376,0.137753,-0.0208602,0,0,0,0,0,0,0,0
1.68623,0.471478,-0.00700139,-0.0574223,0.000824084,-0.170779,0.252884,-0.123989,0.020684,0.203789,0.0456429,-0.133416,-0.00125178,-0.378444,0.549314,-0.267369,0.0444547,-0.098031,0.168331,0.024297,-0.0106439,0.812651,-1.23173,0.628333,-0.108462,0,0,0,0,0,0,0,0
1.70797,0.318676,-0.059821,0.0432232,0.00275935,0.183704,-0.261882,0.125489,-0.0205664,-0.098623,-0.183905,0.0438798,0.00600693,0.386813,-0.511056,0.236722,-0.0380493,0.221884,-0.104132,-0.0742226,0.00877222,-1.29322,1.8771,-0.928089,0.156274,0,0,0,0,0,0,0,0
1.63072,0.356497,-4.11291e-05,-0.034393,-0.00252704,-0.155851,0.227376,-0.112491,0.0191201,-0.127795,0.0145994,-0.014578,-0.0034302,-0.264733,0.385885,-0.194233,0.0336069,-0.264538,0.0346118,0.0912638,-0.00556921,1.41951,-2.14363,1.10444,-0.194067,0,0,0,0,0,0,0,0
1.36212,0.244883,-0.0626288,0.024624,0.00339865,0.126193,-0.182001,0.09351,-0.0169228,-0.201757,-0.0234969,0.0139891,0.00349774,0.431956,-0.716345,0.42073,-0.0857819,0.146726,-0.012711,-0.0893087,0.00469889,-2.12562,3.80966,-2.33878,0.49062,0,0,0,0,0,0,0,0
1.82196,0.244883,0.0406549,0.00586313,0.00168572,-0.0433553,0.0676795,-0.0338441,0.00560961,-0.130024,0.0725214,0.0112112,-0.00351014,0.365606,-0.493117,0.228276,-0.0360459,-0.147678,-0.00974881,0.091086,0.0052085,1.01471,-1.36469,0.625516,-0.0979204,0,0,0,0,0,0,0,0
1.88536,0.365523,0.118336,0.0158494,0.00203578,0.080822,-0.129217,0.062358,-0.00989321,0.094463,0.022789,-0.0157712,0.00228477,0.0609547,-0.0643368,0.0256745,-0.00366509,0.306101,0.00948163,-0.100541,-0.00357356,-1.12554,1.45138,-0.640955,0.096821,0,0,0,0,0,0,0,0
1.94706,0.564559,0.00555788,-0.0392888,0.00142042,0.006412,-0.017967,0.0109462,-0.0019523,0.176998,0.0745836,0.0180371,-0.00449013,0.199562,-0.274845,0.123797,-0.0186869,-0.292833,-0.0609497,0.0982547,0.0060789,0.927323,-1.13875,0.482089,-0.070056,0,0,0,0,0,0,0,0
1.88285,0.415593,-0.139809,0.00117123,0.00414341,0.0419276,-0.0419051,0.0153057,-0.00199524,0.297181,-0.10615,-0.0494363,0.00620643,-0.695472,0.917833,-0.412205,0.0630074,0.302198,0.163252,-0.0679965,-0.012082,-0.531283,0.639569,-0.269952,0.0395536,0,0,0,0,0,0,0,0
1.20694,0.234044,-0.0543444,0.0131665,-4.5766e-05,-0.0100483,0.0552389,-0.05356,0.0151644,-0.138033,0.00668935,0.0593357,-0.00674105,1.62275,-3.25059,2.24221,-0.529396,0.035707,-0.20806,0.0183932,0.0206181,-1.20696,2.68208,-1.96635,0.482653,0,0,0,0,0,0,0,0
1.25143,0.198719,-0.00226065,0.0071516,-0.000967712,-0.0195028,0.027796,-0.0152482,0.00304013,0.018795,0.0443757,-0.0359919,0.000876143,-0.286412,0.566448,-0.379526,0.0866483,-0.121958,0.122244,0.0690287,-0.0330272,2.4237,-4.86269,3.3279,-0.773391,0,0,0,0,0,0,0,0
