1,0.0149167,0.00988692,0.00894011,0.00210274
2,0.0192433,0.0119255,0.00989779,0.00713513
3,0.0195071,0.0121552,0.00959938,0.00805907
4,0.015375,0.0107965,0.0074029,0.00430575
5,0.0169404,0.0125211,0.00849995,0.00411673
6,0.0153811,0.0113097,0.00787107,0.00315165
8,0.0166954,0.00972657,0.00865417,0.00658398
9,0.0149095,0.00994581,0.00845512,0.00326856
10,0.0155719,0.0101694,0.00826187,0.00361112
11,0.0191981,0.0135751,0.00988767,0.00354626
12,0.0149891,0.0104923,0.00767576,0.00395017
13,0.0143839,0.00922044,0.00848216,0.00359316
15,0.0193632,0.0127988,0.0109764,0.00444416
16,0.0150401,0.00917578,0.00926511,0.00324351
17,0.0156447,0.0107074,0.00810903,0.00420487
18,0.0153366,0.0102867,0.00854609,0.00303793
19,0.0163509,0.0105203,0.00806389,0.00549717
20,0.0170491,0.0108229,0.00978617,0.00487965
23,0.0154813,0.00988946,0.00827181,0.00492435
24,0.0171742,0.0107306,0.0092738,0.00531652
25,0.0151489,0.00949724,0.00873415,0.00365876
26,0.0161356,0.0107043,0.00875019,0.00333477
27,0.0160225,0.00983957,0.00933742,0.00438746
29,0.018275,0.0122191,0.0100784,0.00363601
30,0.0171428,0.0114755,0.0091867,0.00357068
31,0.0234847,0.0158327,0.0123818,0.00483705
32,0.0181313,0.0113922,0.0108362,0.00367602
33,0.0162166,0.0112222,0.00872409,0.00298675
34,0.0161564,0.00992126,0.00941205,0.0048808
36,0.020912,0.0167464,0.00828149,0.00492227
37,0.0215346,0.0141889,0.0127691,0.00341494
38,0.0176897,0.0122505,0.00894356,0.00549457
39,0.018425,0.0132134,0.00897605,0.00449903
40,0.0198828,0.0157279,0.00877593,0.0035066
41,0.0202746,0.0138102,0.0109031,0.00403435
